SID,age,sex,experimenter,location,language,exclude,exclude_reason,trial,problem,num_answer,correct,notes,exclude_trial,exclude_trial_reason,double_coded
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,5,57+1,"90,18,9",0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,6,86+1,"98,41,8",0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,7,32+1,"89,90",0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,8,93+1,"80,94",0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,9,20+1,"90,80",0,,,,KG
022818-TK,4.249144422,M,KG,Gillispie,English,0,,1,1+1,2,1,,,,SL
022818-TK,4.249144422,M,KG,Gillispie,English,0,,2,5+1,4,0,,,,SL
022818-TK,4.249144422,M,KG,Gillispie,English,0,,3,21+1,60,0,,,,SL
022818-TK,4.249144422,M,KG,Gillispie,English,0,,4,64+1,"8,9",0,,,,SL
022818-TK,4.249144422,M,KG,Gillispie,English,0,,5,57+1,100,0,,,,SL
022818-TK,4.249144422,M,KG,Gillispie,English,0,,6,86+1,69,0,,,,SL
022818-TK,4.249144422,M,KG,Gillispie,English,0,,7,32+1,69,0,,,,SL
022818-TK,4.249144422,M,KG,Gillispie,English,0,,8,93+1,68,0,,,,SL
022818-TK,4.249144422,M,KG,Gillispie,English,0,,9,20+1,10,0,,,,SL
032218-AM,4.92539357,F,RMS,Northminster,English,0,,1,1+1,2,1,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,2,5+1,50,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,3,21+1,20,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,4,64+1,59,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,5,57+1,90,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,6,86+1,61,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,7,32+1,70,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,8,93+1,100,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,9,20+1,21,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,1,1+1,2,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,2,5+1,6,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,3,21+1,22,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,4,64+1,74,0,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,5,57+1,67,0,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,6,86+1,87,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,7,32+1,33,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,8,93+1,94,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,9,20+1,21,1,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,1,1+1,2,1,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,2,5+1,4,0,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,3,21+1,6,0,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,4,64+1,9,0,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,5,57+1,6,0,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,6,86+1,9,0,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,7,32+1,6,0,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,8,93+1,9,0,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,9,20+1,9,0,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,1,1+1,2,1,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,2,5+1,5,0,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,3,21+1,10,0,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,4,64+1,12,0,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,5,57+1,9,0,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,6,86+1,10,0,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,7,32+1,15,0,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,8,93+1,2,0,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,9,20+1,13,0,,,,KG
040418-JO,4.156057495,F,KG,Gillispie,English,0,,1,1+1,2,1,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,2,5+1,4,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,3,21+1,3,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,4,64+1,8,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,5,57+1,5,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,6,86+1,6,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,7,32+1,8,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,8,93+1,6,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,9,20+1,9,0,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,1,1+1,2,1,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,2,5+1,6,1,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,3,21+1,IDK,0,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,4,64+1,IDK,0,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,5,57+1,IDK,0,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,6,86+1,IDK,0,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,7,32+1,IDK,0,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,8,93+1,IDK,0,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,9,20+1,IDK,0,,,,SL
041118-BD,4.65982204,F,RMS,Little Lamb,English,0,,1,1+1,2,1,,,,KG
041118-BD,4.65982204,F,RMS,Little Lamb,English,0,,2,5+1,3,0,,,,KG
041118-BD,4.65982204,F,RMS,Little Lamb,English,0,,3,21+1,30,0,,,,KG
041118-BD,4.65982204,F,RMS,Little Lamb,English,0,,4,64+1,40,0,,,,KG
041118-BD,4.65982204,F,RMS,Little Lamb,English,0,,5,57+1,50,0,,,,KG
041118-BD,4.65982204,F,RMS,Little Lamb,English,0,,6,86+1,70,0,,,,KG
041118-BD,4.65982204,F,RMS,Little Lamb,English,0,,7,32+1,70,0,,,,KG
041118-BD,4.65982204,F,RMS,Little Lamb,English,0,,8,93+1,70,0,,,,KG
041118-BD,4.65982204,F,RMS,Little Lamb,English,0,,9,20+1,40,0,,,,KG
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,1,1+1,2,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,2,5+1,5,0,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,3,21+1,21,0,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,4,64+1,IDK,0,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,5,57+1,25,0,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,6,86+1,87,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,7,32+1,16,0,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,8,93+1,93,0,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,9,20+1,20,0,,,,SL
041118-IH,5.229295003,M,SL,Little Lamb,English,0,,1,1+1,2,1,,,,KG
041118-IH,5.229295003,M,SL,Little Lamb,English,0,,2,5+1,6,1,,,,KG
041118-IH,5.229295003,M,SL,Little Lamb,English,0,,3,21+1,7,0,,,,KG
041118-IH,5.229295003,M,SL,Little Lamb,English,0,,4,64+1,8,0,,,,KG
041118-IH,5.229295003,M,SL,Little Lamb,English,0,,5,57+1,9,0,,,,KG
041118-IH,5.229295003,M,SL,Little Lamb,English,0,,6,86+1,10,0,,,,KG
041118-IH,5.229295003,M,SL,Little Lamb,English,0,,7,32+1,11,0,,,,KG
041118-IH,5.229295003,M,SL,Little Lamb,English,0,,8,93+1,12,0,,,,KG
041118-IH,5.229295003,M,SL,Little Lamb,English,0,,9,20+1,13,0,,,,KG
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,1,1+1,2,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,2,5+1,6,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,3,21+1,22,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,4,64+1,65,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,5,57+1,58,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,6,86+1,87,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,7,32+1,33,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,8,93+1,94,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,9,20+1,21,1,,,,SL
041118-ZJ,4.793976728,M,RMS,Little Lamb,English,0,,1,1+1,2,1,,,,KG
041118-ZJ,4.793976728,M,RMS,Little Lamb,English,0,,2,5+1,8,0,,,,KG
041118-ZJ,4.793976728,M,RMS,Little Lamb,English,0,,3,21+1,80,0,,,,KG
041118-ZJ,4.793976728,M,RMS,Little Lamb,English,0,,4,64+1,61,0,,,,KG
041118-ZJ,4.793976728,M,RMS,Little Lamb,English,0,,5,57+1,68,0,,,,KG
