SID,age,sex,experimenter,location,language,exclude,exclude_reason,last_successful,error,prompt,after_prompt,initial_highest,final_highest,special_count,note,exclude_trial,exclude_trial_reason,double_coded
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,99,IDK,100,101,69,109,0,,,,RMS
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,109,IDK,110,IDK,69,109,0,,,,RMS
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,39,80,40,41,39,69,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,49,30,50,51,39,69,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,59,30,60,61,39,69,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,69,30,70,IDK,39,69,0,"RMS prompted a few more after the child made the error after the prompt, it's not included here ",,,KG
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,27,29,28,29,27,39,0,,,,RMS
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,37,39,38,39,27,39,0,,,,RMS
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,39,IDK,40,31,27,39,0,child asked to stop,,,RMS
041218-CP,4.963723477,M,RMS,FUMCCV,English,0,,13,15,14,16,13,13,0,"RMS prompted a few more, but since the child made a mistake after the prompt, it's not included",,,KG
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,29,40,30,32,29,29,1,"after prompt,  started from 1",,,RMS
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,39,IDK,40,41,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,59,70,60,61,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,79,30,80,81,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,89,80,90,91,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,99,70,100,101,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,109,IDK,110,111,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,112,IDK,113,114,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,119,IDK,120,,39,119,0,,,,KG
