SID,age,sex,experimenter,location,language,exclude,exclude_reason,trial,num_queried,num_answer,correct,notes,exclude_trial,exclude_trial_reason,double_coded
041818-AM,4.27104723,F,KG,Seaside,English,0,,9,24,25,1,,,,RMS
041818-OH,4.42984257,F,KG,Seaside,English,0,,1,1,2,1,,,,RMS
041818-OH,4.42984257,F,KG,Seaside,English,0,,2,7,IDK,0,,,,RMS
041818-OH,4.42984257,F,KG,Seaside,English,0,,3,26,27,1,,,,RMS
041818-OH,4.42984257,F,KG,Seaside,English,0,,4,30,31,1,,,,RMS
041818-OH,4.42984257,F,KG,Seaside,English,0,,5,62,63,1,,,,RMS
041818-OH,4.42984257,F,KG,Seaside,English,0,,6,83,84,1,,,,RMS
041818-OH,4.42984257,F,KG,Seaside,English,0,,7,95,96,1,,,,RMS
041818-OH,4.42984257,F,KG,Seaside,English,0,,8,71,72,1,,,,RMS
041818-OH,4.42984257,F,KG,Seaside,English,0,,9,24,25,1,,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,1,1,2,1,,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,2,7,4,0,,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,3,26,20,0,,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,4,30,40,0,,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,5,62,7,0,,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,6,83,4,0,,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,7,95,5,0,,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,8,71,6,0,,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,9,24,9,0,,,,RMS
041818-DM,5.0349076,M,KG,Seaside,English,0,,1,1,2,1,,,,RMS
041818-DM,5.0349076,M,KG,Seaside,English,0,,2,7,8,1,,,,RMS
041818-DM,5.0349076,M,KG,Seaside,English,0,,3,26,27,1,,,,RMS
041818-DM,5.0349076,M,KG,Seaside,English,0,,4,30,31,1,,,,RMS
041818-DM,5.0349076,M,KG,Seaside,English,0,,5,62,63,1,,,,RMS
041818-DM,5.0349076,M,KG,Seaside,English,0,,6,83,84,1,,,,RMS
041818-DM,5.0349076,M,KG,Seaside,English,0,,7,95,96,1,,,,RMS
041818-DM,5.0349076,M,KG,Seaside,English,0,,8,71,72,1,,,,RMS
041818-DM,5.0349076,M,KG,Seaside,English,0,,9,24,25,1,,,,RMS
042418-RN,5.50308008,M,KG,McKinley,English,0,,1,1,2,1,,,,RMS
042418-RN,5.50308008,M,KG,McKinley,English,0,,2,7,8,1,,,,RMS
042418-RN,5.50308008,M,KG,McKinley,English,0,,3,26,27,1,,,,RMS
042418-RN,5.50308008,M,KG,McKinley,English,0,,4,30,31,1,,,,RMS
042418-RN,5.50308008,M,KG,McKinley,English,0,,5,62,63,1,,,,RMS
042418-RN,5.50308008,M,KG,McKinley,English,0,,6,83,89,0,,,,RMS
042418-RN,5.50308008,M,KG,McKinley,English,0,,7,95,96,1,,,,RMS
042418-RN,5.50308008,M,KG,McKinley,English,0,,8,71,72,1,,,,RMS
042418-RN,5.50308008,M,KG,McKinley,English,0,,9,24,25,1,,,,RMS
042418-LL,5.69199179,M,KG,McKinley,English,0,,1,1,2,1,,,,RMS
042418-LL,5.69199179,M,KG,McKinley,English,0,,2,7,8,1,,,,RMS
042418-LL,5.69199179,M,KG,McKinley,English,0,,3,26,27,1,,,,RMS
042418-LL,5.69199179,M,KG,McKinley,English,0,,4,30,36,0,,,,RMS
042418-LL,5.69199179,M,KG,McKinley,English,0,,5,62,63,1,,,,RMS
042418-LL,5.69199179,M,KG,McKinley,English,0,,6,83,84,1,,,,RMS
042418-LL,5.69199179,M,KG,McKinley,English,0,,7,95,96,1,,,,RMS
042418-LL,5.69199179,M,KG,McKinley,English,0,,8,71,72,1,,,,RMS
042418-LL,5.69199179,M,KG,McKinley,English,0,,9,24,25,1,,,,RMS
042418-LC,5.44284736,M,KG,McKinley,English,0,,1,1,2,1,,,,RMS
042418-LC,5.44284736,M,KG,McKinley,English,0,,2,7,8,1,,,,RMS
042418-LC,5.44284736,M,KG,McKinley,English,0,,3,26,27,1,,,,RMS
042418-LC,5.44284736,M,KG,McKinley,English,0,,4,30,31,1,,,,RMS
042418-LC,5.44284736,M,KG,McKinley,English,0,,5,62,63,1,,,,RMS
042418-LC,5.44284736,M,KG,McKinley,English,0,,6,83,84,1,,,,RMS
042418-LC,5.44284736,M,KG,McKinley,English,0,,7,95,96,1,,,,RMS
042418-LC,5.44284736,M,KG,McKinley,English,0,,8,71,72,1,,,,RMS
042418-LC,5.44284736,M,KG,McKinley,English,0,,9,24,25,1,,,,RMS
042418-LF,5.56605065,F,KG,McKinley,English,0,,1,1,2,1,,,,RMS
042418-LF,5.56605065,F,KG,McKinley,English,0,,2,7,8,1,,,,RMS
042418-LF,5.56605065,F,KG,McKinley,English,0,,3,26,29,0,,,,RMS
042418-LF,5.56605065,F,KG,McKinley,English,0,,4,30,31,1,,,,RMS
042418-LF,5.56605065,F,KG,McKinley,English,0,,5,62,63,1,,,,RMS
042418-LF,5.56605065,F,KG,McKinley,English,0,,6,83,84,1,,,,RMS
042418-LF,5.56605065,F,KG,McKinley,English,0,,7,95,96,1,,,,RMS
042418-LF,5.56605065,F,KG,McKinley,English,0,,8,71,72,1,,,,RMS
042418-LF,5.56605065,F,KG,McKinley,English,0,,9,24,25,1,,,,RMS
042418-MB,5.442847365,F,KG,McKinley,English,0,,1,1,2,1,,,,SL
042418-MB,5.442847365,F,KG,McKinley,English,0,,2,7,8,1,,,,SL
042418-MB,5.442847365,F,KG,McKinley,English,0,,3,26,27,1,,,,SL
042418-MB,5.442847365,F,KG,McKinley,English,0,,4,30,31,1,,,,SL
042418-MB,5.442847365,F,KG,McKinley,English,0,,5,62,63,1,,,,SL
042418-MB,5.442847365,F,KG,McKinley,English,0,,6,83,84,1,,,,SL
042418-MB,5.442847365,F,KG,McKinley,English,0,,7,95,96,1,,,,SL
042418-MB,5.442847365,F,KG,McKinley,English,0,,8,71,72,1,,,,SL
042418-MB,5.442847365,F,KG,McKinley,English,0,,9,24,25,1,,,,SL
042418-MB2,5.681040383,F,KG,McKinley,English,0,,1,1,2,1,,,,SL
042418-MB2,5.681040383,F,KG,McKinley,English,0,,2,7,8,1,,,,SL
042418-MB2,5.681040383,F,KG,McKinley,English,0,,3,26,27,1,,,,SL
042418-MB2,5.681040383,F,KG,McKinley,English,0,,4,30,31,1,,,,SL
042418-MB2,5.681040383,F,KG,McKinley,English,0,,5,62,63,1,,,,SL
042418-MB2,5.681040383,F,KG,McKinley,English,0,,6,83,84,1,,,,SL
042418-MB2,5.681040383,F,KG,McKinley,English,0,,7,95,96,1,,,,SL
042418-MB2,5.681040383,F,KG,McKinley,English,0,,8,71,72,1,,,,SL
042418-MB2,5.681040383,F,KG,McKinley,English,0,,9,24,25,1,,,,SL
042418-RT,5.645448323,F,KG,McKinley,English,0,,1,1,2,1,,,,SL
042418-RT,5.645448323,F,KG,McKinley,English,0,,2,7,8,1,,,,SL
042418-RT,5.645448323,F,KG,McKinley,English,0,,3,26,27,1,,,,SL
042418-RT,5.645448323,F,KG,McKinley,English,0,,4,30,31,1,,,,SL
042418-RT,5.645448323,F,KG,McKinley,English,0,,5,62,63,1,,,,SL
042418-RT,5.645448323,F,KG,McKinley,English,0,,6,83,84,1,,,,SL
