SID,age,sex,experimenter,location,language,exclude,exclude_reason,trial,starting_num,alt_order,num_answer,correct,note,exclude_trial,exclude_trial_reason,double_coded
041218-EC,5;6,F,KG,FUMCCV,English,0,,11,60,less_first,62,0,,,,SL
041218-EC,5;6,F,KG,FUMCCV,English,0,,12,46,greater_first,47,1,,,,SL
041218-EC,5;6,F,KG,FUMCCV,English,0,,13,81,less_first,83,0,,,,SL
041218-EC,5;6,F,KG,FUMCCV,English,0,,14,15,greater_first,17,0,,,,SL
041218-EC,5;6,F,KG,FUMCCV,English,0,,15,73,less_first,75,0,,,,SL
041218-EC,5;6,F,KG,FUMCCV,English,0,,16,34,greater_first,35,1,,,,SL
041218-EC,5;6,F,KG,FUMCCV,English,0,,17,95,less_first,96,1,,,,SL
041218-EC,5;6,F,KG,FUMCCV,English,0,,18,7,greater_first,8,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,1,1,less_first,2,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,2,3,greater_first,4,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,3,6,less_first,7,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,4,51,greater_first,52,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,5,84,less_first,85,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,6,62,greater_first,63,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,7,57,less_first,59,0,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,8,20,greater_first,21,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,9,32,less_first,34,0,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,10,93,greater_first,94,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,11,60,less_first,61,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,12,46,greater_first,47,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,13,81,less_first,82,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,14,15,greater_first,17,0,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,15,73,less_first,74,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,16,34,greater_first,36,0,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,17,95,less_first,96,1,,,,SL
041218-AF,5;2,F,KG,FUMCCV,English; some Italian,0,,18,7,greater_first,8,1,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,1,1,less_first,2,1,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,2,3,greater_first,4,1,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,3,6,less_first,7,1,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,4,51,greater_first,52,1,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,5,84,less_first,85,1,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,6,62,greater_first,64,0,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,7,57,less_first,58,1,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,8,20,greater_first,22,0,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,9,32,less_first,33,1,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,10,93,greater_first,95,0,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,11,60,less_first,61,1,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,12,46,greater_first,48,0,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,13,81,less_first,82,1,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,14,15,greater_first,17,0,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,15,73,less_first,74,1,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,16,34,greater_first,36,0,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,17,95,less_first,96,1,,,,SL
041218-CL,5;0,M,KG,FUMCCV,English,0,,18,7,greater_first,8,1,,,,SL
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",1,1,less_first,2,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",2,3,greater_first,4,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",3,6,less_first,7,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",4,51,greater_first,52,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",5,84,less_first,85,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",6,62,greater_first,63,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",7,57,less_first,59,0,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",8,20,greater_first,21,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",9,32,less_first,34,0,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",10,93,greater_first,94,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",11,60,less_first,61,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",12,46,greater_first,47,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",13,81,less_first,83,0,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",14,15,greater_first,17,0,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",15,73,less_first,75,0,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",16,34,greater_first,35,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",17,95,less_first,97,0,,,,RMS
