SID,age,sex,experimenter,location,language,exclude,exclude_reason,last_successful,error,prompt,after_prompt,initial_highest,final_highest,special_count,note,exclude_trial,exclude_trial_reason,double_coded
042018-AL,5.514031485,F,RMS,FUMCCV,English,0,,27,idk,28,29,27,39,0,,,,KG
042018-AL,5.514031485,F,RMS,FUMCCV,English,0,,29,idk,30,31,27,39,0,,,,KG
042018-AL,5.514031485,F,RMS,FUMCCV,English,0,,31,33,32,33,27,39,0,,,,KG
042018-AL,5.514031485,F,RMS,FUMCCV,English,0,,34,36,35,36,27,39,0,,,,KG
042018-AL,5.514031485,F,RMS,FUMCCV,English,0,,39,idk,40,NA,27,39,0,child asked to stop,,,KG
042018-AA,4.262833676,F,RMS,FUMCCV,English,0,,29,2010,30,11,29,29,0,"RMS prompted a few more, but since the child made a mistake after the prompt, it's not included here",,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,20,30,21,22,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,49,60,50,51,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,59,idk,60,61,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,69,idk,70,71,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,71,73,72,73,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,79,idk,80,81,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,89,idk,90,91,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,99,idk,100,101,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,109,idk,110,idk,20,109,0,"RMS prompted a few more, but since the child could not continue after prompt, it's not included. ",,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,39,idk,40,41,39,120,0,,,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,49,90,50,51,39,120,0,,,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,59,40,60,61,39,120,0,,,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,66,68,67,68,39,120,0,,,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,69,80,70,71,39,120,0,,,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,90,100,91,92,39,120,0,,,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,120,,,,39,120,0,,,,KG
041318-AA,4.791238877,F,KG,Ridge City,English,0,,15,18,16,17,15,19,0,,,,SL
041318-AA,4.791238877,F,KG,Ridge City,English,0,,19,18,20,18,15,19,0,,,,SL
042018-ME,5.278576318,M,KG,FUMCCV,English,0,,10,IDK,11,12,10,29,0,,,,SL
042018-ME,5.278576318,M,KG,FUMCCV,English,0,,29,20-10,30,IDK,10,29,0,asked to stop,,,SL
042018-MM,5.106091718,M,KG,FUMCCV,English,0,,NA,NA,NA,NA,120,120,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",10,IDK,11,12,10,71,1,"after prompt,  started from 1",,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",14,18,15,19,10,71,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",15,19,16,17,10,71,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",39,90,40,41,10,71,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",55,90,56,57,10,71,0,"sounds like 50,11 but child seems to have speech impediment and could be 57",,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",57,59,58,59,10,71,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",59, ,60,61,10,71,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",69,90,70,71,10,71,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",71,73,NA,NA,10,71,0,experimenter error?? Didn't catch this mistake?,,,SL
042418-ML,5.615331964,M,RMS,McKinley,English,0,,20,22,21,22,20,120,0,,,,KG
042418-ML,5.615331964,M,RMS,McKinley,English,0,,109,2000,110,111,20,120,0,,,,KG
042418-ML,6.615331964,M,RMS,McKinley,English,0,,120,,,,20,120,0,,,,KG
042418-JK,5.656399726,F,RMS,McKinley,English,0,,39,50,40,41,39,112,0,,,,KG
042418-JK,5.656399726,F,RMS,McKinley,English,0,,109,Idk,110,111,39,112,0,,,,KG
042418-JK,5.656399726,F,RMS,McKinley,English,0,,111,130,112,idk,39,112,0,"RMS prompted a few more, but since the child could not continue after prompt, it's not included. ",,,KG
042418-IH,5.667351129,M,RMS,McKinley,English,0,,120,,,,120,120,0,,,,KG
042418-MD,5.708418891,M,RMS,McKinley,English,0,,55,60,56,57,55,120,0,,,,KG
042418-MD,5.708418891,M,RMS,McKinley,English,0,,65,67,67,68,55,120,0,"The kid actually skipped 66, but the last successful on the data sheet is marked as 66. Kid was then prompted with 67. ",,,KG
042418-MD,5.708418891,M,RMS,McKinley,English,0,,69,80,70,71,55,120,0,,,,KG
042418-MD,5.708418891,M,RMS,McKinley,English,0,,120,,,,55,120,0,,,,KG
042018-JH,4.769336071,M,RMS,FUMCCV,English,0,,32,34,33,idk,32,32,0,"Child claimed that's how high he can count to and did not give the next number, RMS prompted a few more, but were not included for the above reason.  ",,,KG
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,97,99,NA,,97,114,0,"Experimetor error, did not catch error",,,KG
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,114,,,,97,114,0,Child asked to stop,,,KG
022818-ED,4.810403833,M,VM,Gillispie,English,1,Experimentor error in SF,49,idk,50,51,49,76,0,,,,KG
022818-ED,4.810403833,M,VM,Gillispie,English,1,Experimentor error in SF,59,40,60,,49,76,0,,,,KG
022818-ED,4.810403833,M,VM,Gillispie,English,1,Experimentor error in SF,65,67,66,67,49,76,0,,,,KG
022818-ED,4.810403833,M,VM,Gillispie,English,1,Experimentor error in SF,69,idk,70,71,49,76,0,,,,KG
022818-ED,4.810403833,M,VM,Gillispie,English,1,Experimentor error in SF,76,,,,49,76,0,Child asked to stop,,,KG
022818-BH,5.278576318,M,RMS,Gillispie,English,0,,16,18,17,19,16,58,0,,,,KG
022818-BH,6.278576318,M,RMS,Gillispie,English,0,,27,idk,28,29,16,58,0,,,,KG
022818-BH,7.278576318,M,RMS,Gillispie,English,0,,39,idk,40,41,16,58,0,,,,KG
022818-BH,8.278576318,M,RMS,Gillispie,English,0,,46,470,47,48,16,58,0,,,,KG
022818-BH,9.278576318,M,RMS,Gillispie,English,0,,49,idk,50,51,16,58,0,,,,KG
022818-BH,10.27857632,M,RMS,Gillispie,English,0,,58,idk,59,idk,16,58,0,"Child could not continue after prompt, RMS prompted a few more but are not included because of that ",,,KG
022818-EW,4.887063655,M,VM,Gillispie,English,1,Experimentor error in SF,20,idk,21,22,20,39,0,,,,KG
022818-EW,4.887063655,M,VM,Gillispie,English,1,Experimentor error in SF,39,idk,40,,20,39,0,"Child asked to stop, VM prompted a few more but are not included because of that",,,KG
041218-CP,4.963723477,M,RMS,FUMCCV,English,0,,13,15,14,16,13,13,0,"RMS prompted a few more, but since the child made a mistake after the prompt, it's not included",,,KG
041118-BD,4.65982204,F,RMS,Little Lamb,English,0,,29,20,30,40,29,29,0,"RMS prompted a few more after the child made the error after the prompt, it's not included here ",,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,39,IDK,40,41,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,59,70,60,61,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,79,30,80,81,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,89,80,90,91,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,99,70,100,101,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,109,IDK,110,111,39,119,0,,,,KG
